,phi,phi_u,u,v
84,46.265170834106115,41.376560421895896,37.0,60.0
85,47.08266841410983,40.9966576985792,37.0,60.0
86,47.983495411594184,40.58958165610386,37.0,60.0
87,48.944570058341874,40.168250761251144,37.0,60.0
88,49.94473790400346,39.743564960107136,37.0,60.0
89,50.96541847872199,39.32420103100185,37.0,60.0
90,51.99086939281261,38.9166865722452,37.0,60.0
91,53.00816605898811,38.525642129546675,37.0,60.0
92,54.00699752526845,38.15409923430802,37.0,60.0
93,54.979362994736356,37.80382995026771,37.0,60.0
94,55.91923123883298,37.475649907122346,37.0,60.0
95,56.82220361562285,37.169676938941336,37.0,60.0
96,57.68520412497863,36.88554063811848,37.0,60.0
97,58.50620759615182,36.622545608183444,37.0,60.0
98,59.28400911819738,36.37979467984088,37.0,60.0
99,60.01803314992109,36.15627938074655,37.0,60.0
100,60.708178355400854,35.950944645517936,37.0,60.0
101,61.35469327233441,35.76273384490808,37.0,60.0
102,61.9580778328768,35.59061912486498,37.0,60.0
103,62.51900611943929,35.4336209972318,37.0,60.0
104,63.03826630081436,35.29082021067513,37.0,60.0
105,63.51671431071084,35.16136418106518,37.0,60.0
106,63.95523842260701,35.04446966862841,37.0,60.0
107,64.35473240455799,34.939422933859035,37.0,60.0
108,64.71607539218513,34.84557826057114,37.0,60.0
109,65.04011699762701,34.762355478938844,37.0,60.0
110,65.32766648329468,34.68923693352342,37.0,60.0
111,65.57948508097547,34.6257642045184,37.0,60.0
112,65.79628073875807,34.571534791702746,37.0,60.0
113,65.97870473938357,34.526198899853256,37.0,60.0
114,66.12734976187988,34.4894564140568,37.0,60.0
115,66.2427490604363,34.46105411782012,37.0,60.0
116,66.32537651601622,34.440783181899654,37.0,60.0
117,66.37564738177485,34.42847693425827,37.0,60.0
118,66.39391959667947,34.42400890920136,37.0,60.0
119,66.3804955858595,34.427291164835324,37.0,60.0
120,66.3356245036196,34.43827285123386,37.0,60.0
121,66.25950490777211,34.4569390060848,37.0,60.0
122,66.15228788369308,34.48330954931112,37.0,60.0
123,66.01408066473134,34.517438442519165,37.0,60.0
124,65.84495082357503,34.559412972484786,37.0,60.0
125,65.64493113804063,34.60935310961247,37.0,60.0
126,65.41402526553395,34.66741088172478,37.0,60.0
127,65.15221439410261,34.73376968991852,37.0,60.0
128,64.85946507543488,34.80864347571528,37.0,60.0
129,64.53573848714184,34.892275626361105,37.0,60.0
130,64.1810014188095,34.98493747677118,37.0,60.0
131,63.79523932898998,35.08692623100145,37.0,60.0
132,63.37847187846463,35.198562081871756,37.0,60.0
133,62.930771408045075,35.32018425303081,37.0,60.0
134,62.45228489515354,35.45214562201127,37.0,60.0
135,61.94325998919132,35.59480550470974,37.0,60.0
136,61.40407578578847,35.74852009108267,37.0,60.0
137,60.83527904578545,35.9136299200183,37.0,60.0
138,60.23762658318971,36.09044367222218,37.0,60.0
139,59.61213451842407,36.27921745152597,37.0,60.0
140,58.960134992304056,36.48012863150952,37.0,60.0
141,58.28334072619418,36.69324328897579,37.0,60.0
142,57.583917447498045,36.91847626440358,37.0,60.0
143,56.86456361832035,37.15554303402965,37.0,60.0
144,56.12859604041571,37.40390292008588,37.0,60.0
145,55.380038689464506,37.66269379651743,37.0,60.0
146,54.623710493899814,37.93065947430139,37.0,60.0
147,53.865305688555424,38.20607248093954,37.0,60.0
148,53.11145788180993,38.486657059837654,37.0,60.0
149,52.369776238499526,38.76951989975159,37.0,60.0
150,51.64883954452665,39.05109919187575,37.0,60.0
151,50.95813196810624,39.32714567368248,37.0,60.0
152,50.307903915948685,39.592751583582945,37.0,60.0
153,49.70894355520001,39.8424437918255,37.0,60.0
154,49.17225039981022,40.07035444554924,37.0,60.0
155,48.70861255179541,40.27047507816312,37.0,60.0
156,48.328103578409795,40.43698786704933,37.0,60.0
157,48.03953203770389,40.564651657450995,37.0,60.0
158,47.849893144395104,40.649203553506,37.0,60.0
159,47.76388353635935,40.68772407448767,37.0,60.0
160,47.783542003389435,40.67891025745104,37.0,60.0
161,47.90806848340988,40.62321009063017,37.0,60.0
162,48.13385104304648,40.52279292611835,37.0,60.0
163,48.454700276822535,40.38135920152833,37.0,60.0
164,48.862259762872526,40.20382100331344,37.0,60.0
165,49.346537460388355,39.9959048677095,37.0,60.0
166,49.896491429533725,39.763735052107236,37.0,60.0
167,50.50060519922588,39.513449328177785,37.0,60.0
168,51.14740082906187,39.2508841272041,37.0,60.0
169,51.8258562543248,38.98134731886404,37.0,60.0
170,52.52571269301458,38.709480107282545,37.0,60.0
171,53.237673897646815,38.43919751999972,37.0,60.0
172,53.953509972891005,38.173690545366256,37.0,60.0
173,54.666084211258415,37.91547133270561,37.0,60.0
174,55.3693228781139,37.66644446678537,37.0,60.0
175,56.05814648351151,37.4279905962439,37.0,60.0
176,56.72837813218904,37.20105242311709,37.0,60.0
177,57.37664106228055,36.986216494735785,37.0,60.0
178,58.00025412613441,36.78378702312329,37.0,60.0
179,58.5971310810265,36.593850006038956,37.0,60.0
180,59.16568726948505,36.41632730622841,37.0,60.0
181,59.7047555687609,36.25102119381504,37.0,60.0
182,60.21351229845119,36.09765031371115,37.0,60.0
183,60.691412992012104,35.955878230816275,37.0,60.0
184,61.13813746083499,35.82533572898892,37.0,60.0
185,61.553543321261905,35.70563796660632,37.0,60.0
186,61.93762704553929,35.59639747032506,37.0,60.0
187,62.29049158457925,35.49723381023142,37.0,60.0
188,62.61231965556879,35.40778066220147,37.0,60.0
189,62.903351864689576,35.32769083680254,37.0,60.0
190,63.163868927047965,35.25663974287703,37.0,60.0
191,63.394177341300356,35.194327659207474,37.0,60.0
192,63.59459796877456,35.14048110868749,37.0,60.0
193,63.76545705252166,35.09485356461509,37.0,60.0
194,63.9070792890371,35.05722566612483,37.0,60.0
195,64.019782633951,35.027405077384344,37.0,60.0
196,64.10387458312972,35.00522609113149,37.0,60.0
197,64.1596497230824,34.99054904975644,37.0,60.0
198,64.18738839024986,34.98325963500383,37.0,60.0
199,64.1873563186522,34.983268059262045,37.0,60.0
200,64.15980519044417,34.99050817629718,37.0,60.0
201,64.10497403507132,35.00493651631625,37.0,60.0
202,64.02309145073383,35.02653123868436,37.0,60.0
203,63.91437864744365,35.05529098485973,37.0,60.0
204,63.77905333468039,35.091233603619656,37.0,60.0
205,63.61733449895964,35.13439470997617,37.0,60.0
206,63.42944813782989,35.184826027924345,37.0,60.0
207,63.21563403705074,35.24259345499484,37.0,60.0
208,62.97615369691783,35.3077747732233,37.0,60.0
209,62.711299531586356,35.380456916417685,37.0,60.0
210,62.42140548119621,35.46073268743157,37.0,60.0
211,62.10685918961634,35.54869680164265,37.0,60.0
212,61.768115909211176,35.644441114340715,37.0,60.0
213,61.405714296071245,35.748048870960986,37.0,60.0
214,61.0202942517612,35.85958780126316,37.0,60.0
215,60.61261694701044,35.97910186355596,37.0,60.0
216,60.183587124009186,36.106601435713685,37.0,60.0
217,59.73427771097108,36.24205175002625,37.0,60.0
218,59.26595668801901,36.3853593843354,37.0,60.0
219,58.780116008728605,36.536356659633356,37.0,60.0
220,58.27850219751603,36.69478386341784,37.0,60.0
221,57.76314800015133,36.860269329502955,37.0,60.0
222,57.23640415500238,37.03230757089195,37.0,60.0
223,56.70096997161356,37.21023589508123,37.0,60.0
224,56.15992095290814,37.393210241107155,37.0,60.0
225,55.616731190436944,37.58018136954031,37.0,60.0
226,55.07528772732191,37.76987300461822,37.0,60.0
227,54.53989357095399,37.960764048721764,37.0,60.0
228,54.015255623502235,38.15107751576297,37.0,60.0
229,53.50645358779234,38.338779282851746,37.0,60.0
230,53.018886029310046,38.52159002577548,37.0,60.0
231,52.55819037536751,38.6970136409942,37.0,60.0
232,52.1301348425101,38.86238491073907,37.0,60.0
233,51.74048218811326,39.01493800557303,37.0,60.0
234,51.39482777257769,39.15189557793448,37.0,60.0
235,51.09841754377122,39.27057574512638,37.0,60.0
236,50.85595489157336,39.36851142920516,37.0,60.0
237,50.671408375624026,39.443573739161366,37.0,60.0
238,50.547834502652826,39.49408891333574,37.0,60.0
239,50.48723042870624,39.5189373786894,37.0,60.0
240,50.490430260403755,39.51762417871426,37.0,60.0
241,50.55705542324447,39.49031251271856,37.0,60.0
242,50.685524663008415,39.437816139685125,37.0,60.0
243,50.87312335373543,39.36155125682663,37.0,60.0
244,51.11612586250386,39.26345325257417,37.0,60.0
245,51.409959751861514,39.14586754895452,37.0,60.0
246,51.74939735138915,39.01142593762874,37.0,60.0
247,52.12875907438433,38.86292013925505,37.0,60.0
248,52.54211372516952,38.703182969151825,37.0,60.0
249,52.98346350140462,38.534984981477876,37.0,60.0
250,53.44690480125949,38.360951429936975,37.0,60.0
251,53.926759626773894,38.18350141942512,37.0,60.0
252,54.41767577655906,38.004808657294596,37.0,60.0
253,54.914696779454445,37.82678146252568,37.0,60.0
254,55.4133044748918,37.65105868568709,37.0,60.0
