,F1,mu_x,mu_y,x,y
0,0.0,0.0,0.0,0.0,0.0
1,27.962999060692592,40.309198619447265,44.471973924948955,0.0,37.0
2,25.843361871996528,40.910636239307294,44.13144202694331,0.0,37.0
3,23.718978540375616,41.770361583765,43.656108243071195,0.0,37.0
4,22.53323528017612,42.84280214955141,43.08152501424257,0.0,37.0
5,23.133394336235725,44.07725305942359,42.444519828404744,0.0,37.0
6,26.12458183358426,45.42375645252817,41.77828730936385,0.0,37.0
7,31.818779518064822,46.83728831579779,41.109628635629335,0.0,37.0
8,40.25868580535683,48.27999437934247,40.45818806440176,0.0,37.0
9,51.28109209535192,49.72180194202438,39.837032109574174,0.0,37.0
10,64.58934173793922,51.13996144193148,39.25387278881446,0.0,37.0
11,79.81684148682284,52.51803792169549,38.712427973562505,0.0,37.0
12,96.57469414707877,53.8447269465532,38.213640832182726,0.0,37.0
13,114.4833550871556,55.11271608637872,37.75665227602984,0.0,37.0
14,133.19124805521056,56.31769660918915,37.33951948527014,0.0,37.0
15,152.38396075080675,57.45755706983066,36.95971780518769,0.0,37.0
16,171.7872241587759,58.53175164430553,36.61447527792491,0.0,37.0
17,191.16611920014458,59.54081926192566,36.300985713276035,0.0,37.0
18,210.32221264963124,60.48602515497946,36.01653741870302,0.0,37.0
19,229.08973073816978,61.369098043028416,35.75858536186385,0.0,37.0
20,247.3314501970258,62.192040142298296,35.52478655216521,0.0,37.0
21,264.93469668147577,62.95699165290161,35.31301226692146,0.0,37.0
22,281.80765407798026,63.6661354746153,35.1213462657755,0.0,37.0
23,297.876073470071,64.32163133343622,34.94807499636179,0.0,37.0
24,313.08040321931753,64.92557123054321,34.791673649627036,0.0,37.0
25,327.3733245089277,65.47995022918174,34.65079048693465,0.0,37.0
26,340.7176582133205,65.98664818443095,34.52423091439191,0.0,37.0
27,353.08460156162135,66.44741920586193,34.410942165063126,0.0,37.0
28,364.4522519885844,66.8638865189404,34.30999905675465,0.0,37.0
29,374.80437787110475,67.23754103460799,34.2205910465972,0.0,37.0
30,384.1293997645755,67.56974240760161,34.14201065298619,0.0,37.0
31,392.4195502526758,67.86172170812584,34.07364322675775,0.0,37.0
32,399.67018503551407,68.1145850824029,34.01495800442329,0.0,37.0
33,405.8792221099077,68.32931796050211,33.965500352185224,0.0,37.0
34,411.04668971113443,68.506789503181,33.9248851007485,0.0,37.0
35,415.17436705061994,68.64775707682229,33.8927908714381,0.0,37.0
36,418.26550481264474,68.75287061688002,33.86895529986441,0.0,37.0
37,420.32461490480813,68.8226767928731,33.85317107182628,0.0,37.0
38,421.3573211418774,68.85762292729366,33.84528269572533,0.0,37.0
39,421.3702644332961,68.85806065086275,33.84518394550191,0.0,37.0
40,420.3710576912752,68.82424930041884,33.852815917386735,0.0,37.0
41,418.36828712471,68.75635908572923,33.86816565220669,0.0,37.0
42,415.3715578742622,68.65447406956939,33.89126528232146,0.0,37.0
43,411.39158310977126,68.51859502311986,33.922191668276625,0.0,37.0
44,406.44031678032485,68.34864223752186,33.96106649469894,0.0,37.0
45,400.531131200575,68.14445839369328,34.00805679752814,0.0,37.0
46,393.67904158734717,67.90581161766076,34.06337589495622,0.0,37.0
47,385.90098053229667,67.63239887926612,34.127284691841915,0.0,37.0
48,377.2161262019866,67.32384992992709,34.200093321055796,0.0,37.0
49,367.64628877405664,66.97973202224243,34.28216307404222,0.0,37.0
50,357.2163602048827,66.59955571308895,34.37390855527791,0.0,37.0
51,345.95483281070136,66.18278212538686,34.47579996911401,0.0,37.0
52,333.8943922235461,65.72883213537881,34.588365409812056,0.0,37.0
53,321.072589897152,65.23709806613051,34.712192972557474,0.0,37.0
54,307.5325992582352,64.70695860864997,34.84793242974864,0.0,37.0
55,293.3240575036231,64.13779786462547,34.996296116256595,0.0,37.0
56,278.50399148853694,63.52902961454583,35.15805853108755,0.0,37.0
57,263.1378205316133,62.88012816665348,35.33405398024525,0.0,37.0
58,247.30042047551868,62.19066743893028,35.52517134356667,0.0,37.0
59,231.0772209514458,61.46037026763475,35.73234473183363,0.0,37.0
60,214.56529021111416,60.68917031439329,35.956538393492195,0.0,37.0
