,F1,mu_x,mu_y,x,y
667,156.84560293045504,57.71090416264329,36.87720096671923,0.0,37.0
668,158.010828401619,57.77641452670111,36.85597438377925,0.0,37.0
669,159.1122406208767,57.83809393494595,36.83603046076227,0.0,37.0
670,160.14371624509786,57.89564502149512,36.81745752594909,0.0,37.0
671,161.09963512968082,57.94879951123537,36.80033436740752,0.0,37.0
672,161.97490635423395,57.997318458351685,36.78473036177469,0.0,37.0
673,162.76499037758947,58.040992346560756,36.770705633485896,0.0,37.0
674,163.46591738539632,58.07964107253025,36.75831123470496,0.0,37.0
675,164.07430191679265,58.11311383200018,36.74758933741024,0.0,37.0
676,164.58735387326647,58.141288925960936,36.73857343030967,0.0,37.0
677,165.0028860233873,58.164073501952146,36.731288514472354,0.0,37.0
678,165.31931812238022,58.18140324318598,36.72575129275296,0.0,37.0
679,165.53567776636393,58.193242015815194,36.721970349234965,0.0,37.0
680,165.6515980983671,58.199581482298555,36.71994631602197,0.0,37.0
681,165.66731247788982,58.200440686495384,36.71967202575706,0.0,37.0
682,165.58364621868597,58.1958656138711,36.72113264924833,0.0,37.0
683,165.40200549147525,58.18592872803724,36.724305818522964,0.0,37.0
684,165.1243634802816,58.17072848279895,36.729161736524915,0.0,37.0
685,164.75324387378222,58.150388806955405,36.735663275513275,0.0,37.0
686,164.29170176714686,58.12505855730895,36.74376606701016,0.0,37.0
687,163.74330204593326,58.09491093370107,36.75341858688882,0.0,37.0
688,163.11209532220616,58.06014284842517,36.7645622398819,0.0,37.0
689,162.40259149456412,58.0209742410849,36.77713144842146,0.0,37.0
690,161.61973100848954,57.97764732889511,36.791053751290846,0.0,37.0
691,160.7688539015517,57.9304257815829,36.80624991806254,0.0,37.0
692,159.85566672953448,57.879593809466556,36.82263408570376,0.0,37.0
693,158.88620748443282,57.82545515299901,36.84011392403779,0.0,37.0
694,157.86680863322016,57.76833196209035,36.858590836934866,0.0,37.0
